text,sentiment,text_length,clean_text
I'm cooking dinner! Lol ! Pray for Stevie ,positive,42,im cooking dinner lol pray for stevie
@ThankASoldier your secret is safe with me...I often walk by a similar fence in my neighbourhood. ,positive,98,your secret is safe with mei often walk by a similar fence in my neighbourhood
"Stupid as it may sound, I cried writing his goodbye gift. I'll probably cry next Friday after finals too because he's leaving.  ...School.",negative,138,stupid as it may sound i cried writing his goodbye gift ill probably cry next friday after finals too because hes leaving school
@leahPanilan its broken  I need to bitch at rogers for a new one!,negative,65,its broken i need to bitch at rogers for a new one
@Alyssa_Milano Hello from Norway! Been a fan since the MP days. Look forward to your new show over here. ,positive,105,hello from norway been a fan since the mp days look forward to your new show over here
today is fucking crazy if i dont reply to emails/phone i apologise now! ,negative,72,today is fucking crazy if i dont reply to emailsphone i apologise now
Just saw Up for the second time today. Amazing movie. Go out &amp; see it! Do it! You wont. ,positive,92,just saw up for the second time today amazing movie go out amp see it do it you wont
"Ow,  I hate hospitals  my ankel hurts  I'm sad",negative,46,ow i hate hospitals my ankel hurts im sad
@ptgod23 ok that is excuseable! And yes ma'am see you tomorrow. Goodnight girl!! ,positive,81,ok that is excuseable and yes maam see you tomorrow goodnight girl
Just watched Outer Limits ep: QUALITY OF MERCY of Hulu. That ep had a profound impact on me as a kid and I still love it dearly ,positive,128,just watched outer limits ep quality of mercy of hulu that ep had a profound impact on me as a kid and i still love it dearly
"@discho Yeah, I just have to go in later for the exam. Although I slightly resent missing out on a couple of hours of valuable sleep ",negative,133,yeah i just have to go in later for the exam although i slightly resent missing out on a couple of hours of valuable sleep
@PGA_JohnDaly Sounds like you are going to have some goood ribs and B-Q soon  enjoy!!,positive,85,sounds like you are going to have some goood ribs and bq soon enjoy
Brasil sem representantes em Wimbledon ,negative,39,brasil sem representantes em wimbledon
Did I do something wrong? ,negative,26,did i do something wrong
Omggg i'm falling asleeeeeep... OH and giant blisters on my feet from these stupid shoes? check. should have just worn the heels ,negative,129,omggg im falling asleeeeeep oh and giant blisters on my feet from these stupid shoes check should have just worn the heels
"Been getting Banner ads from Nuffnang consistently lately, good for the old bank balance ",positive,89,been getting banner ads from nuffnang consistently lately good for the old bank balance
is happy/sad. it has been a very emotionally confusing day ,negative,59,is happysad it has been a very emotionally confusing day
"Animal cruelty!  (windows are down, but still) http://twitpic.com/7r0s0",negative,71,animal cruelty windows are down but still
@joeymcintyre hope you have a good show tonight ,positive,48,hope you have a good show tonight
i hate breakfast...i don't know what i want ,negative,44,i hate breakfasti dont know what i want
I need a job like asap ugh! ,negative,28,i need a job like asap ugh
@frankborin sucks ,negative,18,sucks
Watching a movie that has @ddlovato in it! Wow she is so talented! I cant wait for her concert!! ,positive,97,watching a movie that has in it wow she is so talented i cant wait for her concert
"@metteillu ehehe!! you'll find it, somewhere, somehow! ",positive,55,ehehe youll find it somewhere somehow
@leocomerlato @INFECTEDPB503 And my brother.. ,positive,46,and my brother
i still don't understand you n what is going on (sigh) esp w/all ur confusing &quot;i miss u crap.&quot; i am pissed n in love w/u at the same time ,negative,148,i still dont understand you n what is going on sigh esp wall ur confusing quoti miss u crapquot i am pissed n in love wu at the same time
"@teatotally aww, bless you  you don't! anyway i am off to bed. @lynne9 night you drunkards. xxx",negative,95,aww bless you you dont anyway i am off to bed night you drunkards xxx
@iamrayhaha You fuck face. ,positive,27,you fuck face
Knowing my luck I'll book it and then be delayed for hours at Dublin   Mebbe just chance my luck when I get there...?,positive,117,knowing my luck ill book it and then be delayed for hours at dublin mebbe just chance my luck when i get there
Mourning the end of Spring Break.....I don't wanna go back ,negative,59,mourning the end of spring breaki dont wanna go back
am madd i had to miss my baby sister @milanrouge bday happy hour cus of fuggin work... ,negative,87,am madd i had to miss my baby sister bday happy hour cus of fuggin work
Aw! The weather is somehow affecting my mood. ,negative,46,aw the weather is somehow affecting my mood
Summertime and living is easy... ?? ,positive,36,summertime and living is easy
really can't be bothered to go back to school tomorrow! (N) ,negative,60,really cant be bothered to go back to school tomorrow n
Fucking work from 33O til 2 am again.  it fucking sucks.,negative,56,fucking work from o til am again it fucking sucks
Love coming home after a big day ,positive,33,love coming home after a big day
Oh thank god!  so sad that I'm this happy.,positive,42,oh thank god so sad that im this happy
@_Michelle_Berg_ fine just bored need a playmate ,positive,49,fine just bored need a playmate
"@MadisonMitchell well...we all fall flat once in a while, I guess ",positive,66,wellwe all fall flat once in a while i guess
"finger in the employment ministry, interview in radvision, shrinking shirt, work for scepia (no charge), looking for job, a nap, pilates ",positive,137,finger in the employment ministry interview in radvision shrinking shirt work for scepia no charge looking for job a nap pilates
"my sunburn hurts  alas, nice day spent in the sunshine today with the fam ",negative,74,my sunburn hurts alas nice day spent in the sunshine today with the fam
Got a story rejection ,negative,22,got a story rejection
"Morning everyone, its a beautiful day again.  I'm busy today have lots of cakes to make for home and cricket ",positive,109,morning everyone its a beautiful day again im busy today have lots of cakes to make for home and cricket
http://www.viddler.com/explore/Brad4815/videos/3/ somebody to love - #Glee amazing ,positive,83,somebody to love glee amazing
"Good afternoon all. Anita is in a foul mood. Not usual, but VERY grumpy today. No updates except a bonus to report. Too grouchy for pics ",negative,137,good afternoon all anita is in a foul mood not usual but very grumpy today no updates except a bonus to report too grouchy for pics
DIVERSITY PLEAAAASE ,positive,20,diversity pleaaaase
@lisarinna that was funny! I thought you were gonna say it &amp; I was like Oh Noo!! Good job!! ,positive,96,that was funny i thought you were gonna say it amp i was like oh noo good job
Left with friends I dunno. Guess I'll enjoy the free booze n not complain ,positive,74,left with friends i dunno guess ill enjoy the free booze n not complain
Is gonna wait for Him.  walking in faith is hard but it's the only way.,positive,71,is gonna wait for him walking in faith is hard but its the only way
Shopping equals awful . . . Especially when i have no money.  but i found a gorgeous dress for the wedding!,negative,107,shopping equals awful especially when i have no money but i found a gorgeous dress for the wedding
" i do not feel good today, Goodmorning..",negative,40,i do not feel good today goodmorning
"Ugh, I need to get new glasses. This pair is scratched up to high heaven. ",negative,74,ugh i need to get new glasses this pair is scratched up to high heaven
Yay still can't sleep I'm so tired though. I just can't breathe when I lay down. ,negative,81,yay still cant sleep im so tired though i just cant breathe when i lay down
@paulrhanna thanks bruv! glad you dig the album...and thanks for chiming in! ,positive,77,thanks bruv glad you dig the albumand thanks for chiming in
"@Workchic - ty for the link! Was so sad to see that PT closed their online store, and nearest outlet is several hours away. ",negative,124,ty for the link was so sad to see that pt closed their online store and nearest outlet is several hours away
@JodiAlbert Erggh it's so bad this year! Usually tablets work but not this time  Might try those two things so thaaanks lots! xxx,negative,129,erggh its so bad this year usually tablets work but not this time might try those two things so thaaanks lots xxx
"@xAmandaKayx Alright, I admit it.  ",positive,35,alright i admit it
"@mongstradamus I never really feel well, I have a lot of health problems so my body is pretty weak~ ",negative,100,i never really feel well i have a lot of health problems so my body is pretty weak
"@tophatdog Hehehe.I can imagine!Hmm,it would be great if you get out of work early  I think I gotta go sleep also! :/",positive,117,hehehei can imaginehmmit would be great if you get out of work early i think i gotta go sleep also
i'm so tired ,negative,13,im so tired
@ScottishFox  I'm a n0ob &amp; have only had that once in my life. Now I'm the failure.,negative,87,im a nob amp have only had that once in my life now im the failure
let's make out ,positive,15,lets make out
Another 100 plus bucks for takin the baby Jayd to the vet. Got some sort of allergic reaction to something. What next my gosh  ?,negative,128,another plus bucks for takin the baby jayd to the vet got some sort of allergic reaction to something what next my gosh
@Beautifulsdot I'm sorry ,negative,25,im sorry
work at 11-6. ,negative,14,work at
@Perro_Rojo amy winehouse ...I fell asleep last night before I called. I hope you've had a good day ,positive,100,amy winehouse i fell asleep last night before i called i hope youve had a good day
just bid farewell to the guys off on cali tour ,negative,47,just bid farewell to the guys off on cali tour
@cupcate happy birthday! What a gorgeous day you're getting  have fun xx,positive,72,happy birthday what a gorgeous day youre getting have fun xx
So I accomplished nothing today!  At least I have tomorrow off so maybe I'll get things done then.,negative,98,so i accomplished nothing today at least i have tomorrow off so maybe ill get things done then
@inworship that sounds...very American. ,positive,40,that soundsvery american
"@emotionalpedant Thanks EP. For a man at home alone, Blip is a godsend. Mwah ",positive,77,thanks ep for a man at home alone blip is a godsend mwah
The jetlag is doing crazy things to me ,negative,39,the jetlag is doing crazy things to me
Kinda sad to know that Jessica won't be on the show tonight ,negative,60,kinda sad to know that jessica wont be on the show tonight
Going to sleep. Blahh full day of school tomorrow  sad sad. Hahaha night!,negative,73,going to sleep blahh full day of school tomorrow sad sad hahaha night
Noooo. No more Margaret on the apprentice. ,negative,43,noooo no more margaret on the apprentice
is almost at the end of my useful productivity for the day...but Im still not finished...  boo!!! Plus I didnt get any of the house clean,negative,137,is almost at the end of my useful productivity for the daybut im still not finished boo plus i didnt get any of the house clean
@Pink gooorgeous. aww this made me smile. I wanna go to australia  the palm trees&lt;3,positive,86,gooorgeous aww this made me smile i wanna go to australia the palm treeslt
is going to get my daughter soon!!! ,positive,36,is going to get my daughter soon
@CatBud to good to be in work ,negative,30,to good to be in work
@mikey_nw19 im that way with McFly! Haha  you should listen to them ,positive,68,im that way with mcfly haha you should listen to them
@jeffreecuntstar clearly it should be @GabrielSaporta  ,positive,55,clearly it should be
@Rocktress you're welcome  you did really good!,positive,47,youre welcome you did really good
i really thought tht she would write bak. ,negative,42,i really thought tht she would write bak
"RON was good @ the concert last night..  oh, and tiff..",positive,55,ron was good the concert last night oh and tiff
my room is blardy messy! ,negative,25,my room is blardy messy
@ikesonthereal looool dude....in a couple weeks the campaign is starting.....i got a mad plan all will be revealed soon ,positive,120,looool dudein a couple weeks the campaign is startingi got a mad plan all will be revealed soon
@fashion_retweet Oops! Let me rephrase: Pink striped short sleeved polo shirt with red and black necktie. ,positive,106,oops let me rephrase pink striped short sleeved polo shirt with red and black necktie
I took a catnap in the afternoon. I had bad dream ,negative,50,i took a catnap in the afternoon i had bad dream
I am missing my mom ,negative,20,i am missing my mom
@JESSIMTV lindsay and michelle are watching from waterloo ,positive,58,lindsay and michelle are watching from waterloo
"@LauraWhittaker 5 hours behind UK  Better than my time diff. to Australia, for sure, but still a bit of a difference ",positive,117,hours behind uk better than my time diff to australia for sure but still a bit of a difference
Wish I knew what it felt like to have a father that actually seems to care about you ,negative,85,wish i knew what it felt like to have a father that actually seems to care about you
Gonna try my hand at the Main Event races and Face the Ace freerolls.  Gotta love the donkeys. ,negative,95,gonna try my hand at the main event races and face the ace freerolls gotta love the donkeys
stuck at home on a SATURDAY NIGHT    work deadlines suck !,negative,58,stuck at home on a saturday night work deadlines suck
@XGala: Someone *points to self* loves that show ,positive,49,someone points to self loves that show
on my way to school ,negative,20,on my way to school
@mattbeesley why thank you. I might just take you up on your offer ,positive,67,why thank you i might just take you up on your offer
I don't kno why I was picturing the whole ink pad &amp; paper thing haha. Fingerprinting is so high tech w computers nowadays ,positive,126,i dont kno why i was picturing the whole ink pad amp paper thing haha fingerprinting is so high tech w computers nowadays
@millaty my Indonesian is little rusty these days ,positive,50,my indonesian is little rusty these days
@semanticist 18 months ago I could swim 3.2km before having to leave the pool (because I was too cold rather than exhausted) ,negative,125,months ago i could swim km before having to leave the pool because i was too cold rather than exhausted
@sweetnsassyred http://twitpic.com/7ijf7 - Aww!!  I miss her. And you guys!!,positive,76,aww i miss her and you guys
It's just not cool. ,negative,20,its just not cool
@ddlovato i wish you had more time here too. i can't make your concert tomorrow ,negative,80,i wish you had more time here too i cant make your concert tomorrow
@RawrStar well I won the 50 dollar 6 handed tourney yesterday so it's all good. ,positive,80,well i won the dollar handed tourney yesterday so its all good
"@Spoonsie Congrats! You may want to think twice about twittering in mid-process, though.  ",positive,90,congrats you may want to think twice about twittering in midprocess though
nic anderson!  Hs just left ,negative,28,nic anderson hs just left
just got home from dinner  best dinner i have had in a long time! Well I probably should get ready for bed cause i work 15 hrs tomorrow =(,positive,138,just got home from dinner best dinner i have had in a long time well i probably should get ready for bed cause i work hrs tomorrow
boring day ,negative,11,boring day
I start my first day of work tomorrow!!! Get excited/scared...hope i dont kill anyone ,positive,86,i start my first day of work tomorrow get excitedscaredhope i dont kill anyone
"I really miss him, goddd that was so fun.... ughh, I know someone that would agree with me. ",negative,92,i really miss him goddd that was so fun ughh i know someone that would agree with me
"@DrFryguy I totally agree with that,Love what u r doing ",positive,56,i totally agree with thatlove what u r doing
@nizbiz Not so many spiders now that it's Winter... Touch Wood!  ,positive,65,not so many spiders now that its winter touch wood
Gettin Maddie's picture taken! ,positive,31,gettin maddies picture taken
chilling b4 work... closing weekend ,negative,36,chilling b work closing weekend
"i'm freezing in here, gotta get the hot-water bag out haha it was supposed to be warm? ",negative,87,im freezing in here gotta get the hotwater bag out haha it was supposed to be warm
Good night sun ,positive,15,good night sun
@alexarae12 haha hm maybe it's a sign! so obviously you were like meant to see that  lol.,positive,89,haha hm maybe its a sign so obviously you were like meant to see that lol
"@Bytorsnowdog haha I guess I'll have to.  I think they're out for that Edinburgh fun-run or whatever, to film it.",positive,113,haha i guess ill have to i think theyre out for that edinburgh funrun or whatever to film it
"In need of more cafeine, maybe some red bull will help ",positive,55,in need of more cafeine maybe some red bull will help
Mira Mesa High School Graduation. In a few minutes I will be saying &quot;ouuu girl&quot; a lot. ,positive,97,mira mesa high school graduation in a few minutes i will be saying quotouuu girlquot a lot
"@jeanreiki thank u, Jean. Am glad to see you all after so many months!  rocks!! Sorry for been bad host, too many ppl! Fainted*",positive,127,thank u jean am glad to see you all after so many months rocks sorry for been bad host too many ppl fainted
@teddywong do it for me bro!  ,negative,30,do it for me bro
"can any recommend any good driving routes from Brighton &gt; London (excluding the obvious A23/M23, somewhere where 1 can have some fun ",positive,136,can any recommend any good driving routes from brighton gt london excluding the obvious am somewhere where can have some fun
is twittering.... ,positive,18,is twittering
"@MurasakiTeapot shatters instantly, with the spout it bounces it back at the attacker, its also a natural defense mechanism ",positive,124,shatters instantly with the spout it bounces it back at the attacker its also a natural defense mechanism
Naza is sooooooooooooo messed up right now its funny yet sad at the same time ,negative,78,naza is sooooooooooooo messed up right now its funny yet sad at the same time
I must confess... TonightIwatched Jon and Kate plus 8 ,positive,54,i must confess tonightiwatched jon and kate plus
@xxlucyappxx  lol.. well they wer destined to end up in ur belly! its what they wud have wanted!,positive,96,lol well they wer destined to end up in ur belly its what they wud have wanted
@rockeye I wish I had a long weekend.  have u started on the beer yet?,negative,70,i wish i had a long weekend have u started on the beer yet
"Saw lots of Elk, a skunk, a seal, pelicans, and sparrows yesterday up in Beautiful Fern Canyon...it was a magical day ",positive,118,saw lots of elk a skunk a seal pelicans and sparrows yesterday up in beautiful fern canyonit was a magical day
Grrrr YouTube deleted my latest video  curse them,negative,49,grrrr youtube deleted my latest video curse them
@Pink ur funny as.Hey I wanna give u something at wollongong concert is there anyway Im able to?? Pretty pls its sumthin u luv heaps ,positive,133,ur funny ashey i wanna give u something at wollongong concert is there anyway im able to pretty pls its sumthin u luv heaps
@ccristinaa BOTH OF THEM  cause there both equally awesome ,positive,59,both of them cause there both equally awesome
Now Mum refuses 2 send me 2 skool. Mite be showing symptoms  I wonder if we'll hav 2 take those tablets ...,negative,107,now mum refuses send me skool mite be showing symptoms i wonder if well hav take those tablets
@jolagerlow I don't like pop! for srs! I am so indie and techno at heart. ,negative,74,i dont like pop for srs i am so indie and techno at heart
just spent 74dollars at kmart for shit on saturday ,negative,51,just spent dollars at kmart for shit on saturday
@siouxsie07 You're welcome!!!!  Glad you like  ,positive,47,youre welcome glad you like
3 new shirts!!!    they are soft  http://tinyurl.com/d96mx5,positive,59,new shirts they are soft
Going to sleep now. Got a LONG day ahead of me tomorrow ,negative,56,going to sleep now got a long day ahead of me tomorrow
@saykendrawithme I'M SO EXCITED TOO. I MISS THEM A LOT   ,negative,57,im so excited too i miss them a lot
@KaiserWillis @hardlinemonks can play for you! and @jasonturnerband possibly! ,positive,78,can play for you and possibly
@Marianatss Poor Ricky man...Thought he'd of mashed the guy but not to be!!! ,negative,77,poor ricky manthought hed of mashed the guy but not to be
Happy Rainy Tuesay! ,positive,20,happy rainy tuesay
Someone threw my keys away in the trash  had to dig thru it to find it ... Bad times &gt;[,negative,90,someone threw my keys away in the trash had to dig thru it to find it bad times gt
Good Morning.. ,positive,15,good morning
I reeaaaallly want to watch Spain play today but I can't ,negative,57,i reeaaaallly want to watch spain play today but i cant
Now it's like 20 degrees cooler. ,negative,33,now its like degrees cooler
"I don't want to sleep...I want to stay awake talking all night! I just can't get enough! Alas, work in the morning.  tap tap tap",negative,128,i dont want to sleepi want to stay awake talking all night i just cant get enough alas work in the morning tap tap tap
@prettypinkbow oh no love  what's wrong?,negative,40,oh no love whats wrong
Feddle Le Grand feat. Mitch Crow - Scared Of Me .. wow .. amazing song ,positive,71,feddle le grand feat mitch crow scared of me wow amazing song
"Turns out that OpenSim just blows when it comes to texture performance, and it wasn't my build at all ",negative,102,turns out that opensim just blows when it comes to texture performance and it wasnt my build at all
Bummer... I missed Taylor Swift on the Today show!  Those were my only plans for the day!!!,negative,91,bummer i missed taylor swift on the today show those were my only plans for the day
Watching 'Lucky You' -making me wish I was playing poker right now. ,negative,68,watching lucky you making me wish i was playing poker right now
"@akojen First synth was a Roland Jupiter 4, which was all over the first Duran Duran record. ",positive,93,first synth was a roland jupiter which was all over the first duran duran record
I have acquired a cough. Uh-oh.  ,negative,33,i have acquired a cough uhoh
"@yeuxbruns Currently drinking tea, listening to some records, chatting with friends, then I close the store tonight! ",negative,117,currently drinking tea listening to some records chatting with friends then i close the store tonight
@inkjunki didnt even know u were online.  whats up?,positive,51,didnt even know u were online whats up
Going to bed. Hate 5.30am starts ,negative,33,going to bed hate am starts
is heading back to California to see her niece and do some OTJ until Sunday then possibly back to Arizona for the week ,positive,119,is heading back to california to see her niece and do some otj until sunday then possibly back to arizona for the week
Is going to miss seeing everyone all the time ,negative,46,is going to miss seeing everyone all the time
Wishing we had fast internet NOW....not in 8 years!  http://bit.ly/I72Oi,negative,72,wishing we had fast internet nownot in years
"_girl: on way home frm gig ~ featured 5 of the city's entertainmnt award nominees!! Had gr8 soundNcrowd, but crowds lightr than usual  ..",negative,137,girl on way home frm gig featured of the citys entertainmnt award nominees had gr soundncrowd but crowds lightr than usual
@alyssagruber Thx for the  - always brightens the day,positive,53,thx for the always brightens the day
@PoonStabby that is one of the funniest fucking movies EVER!!! danny mcbride is truly epic. &quot;im so hungry i could eat a grown man's ass.&quot; ,positive,148,that is one of the funniest fucking movies ever danny mcbride is truly epic quotim so hungry i could eat a grown mans assquot
Woke up with phlegm in my throat. That's not a good sign! ,negative,58,woke up with phlegm in my throat thats not a good sign
@philgoodman Sorry  I'm really enjoying it...,negative,45,sorry im really enjoying it
Kenzie's recital was really cool. ,positive,34,kenzies recital was really cool
finish putting together vid project  time to do English hw,positive,58,finish putting together vid project time to do english hw
"not feeling so great, but still preparing myself for a pretty mean workout.. oo it burns soo goood ",positive,99,not feeling so great but still preparing myself for a pretty mean workout oo it burns soo goood
Updating all his programs on the new berry.  So far so good... But my Sudoku times are all gone.  ,negative,98,updating all his programs on the new berry so far so good but my sudoku times are all gone
"This tweet I just have to send, thank u lord it is the weekend... ",positive,66,this tweet i just have to send thank u lord it is the weekend
"Just ate a bagel, and feel like a piggy.......i usually don't eat breakfast and when i do, i just feel like a balloon ",negative,118,just ate a bagel and feel like a piggyi usually dont eat breakfast and when i do i just feel like a balloon
@daphnieloong  hahahahahahah!! It's the ' when-i-have-time soon' ,positive,65,hahahahahahah its the whenihavetime soon
Going on little sleep....stupid storms kept me up again ,negative,56,going on little sleepstupid storms kept me up again
"Ok nvm. i found toy story 1 on youtube, watching that now! ",positive,59,ok nvm i found toy story on youtube watching that now
I've been slacking on the blips... but a nice mellow one before I go to sleep.  ? http://blip.fm/~5jcfo,positive,103,ive been slacking on the blips but a nice mellow one before i go to sleep
"Layin N Tha Bed, N Pain... ",negative,27,layin n tha bed n pain
@SupaStarTorch I think I'm TOO aggressive ,negative,42,i think im too aggressive
Wow neighbor to my right is blasting 300. Woke me up. ,negative,54,wow neighbor to my right is blasting woke me up
@ThePISTOL and then come back to puerto rico ,positive,45,and then come back to puerto rico
"I am trying to figure out Twitter, thanks Nichole for helping ",positive,62,i am trying to figure out twitter thanks nichole for helping
is at home and doesnt know what to do without her computer ,negative,59,is at home and doesnt know what to do without her computer
"@christig Yay Christi!  You didn't say it was part II... But close enough.  Here's your prize &quot;Yes, you're very smart.  Now shut up.&quot; ",positive,144,yay christi you didnt say it was part ii but close enough heres your prize quotyes youre very smart now shut upquot
@yash2989 Wats wid so many tweets man!! Haha.. I Hate Kareena tho.. Wat a ugly sucker!! Yuck   ,negative,95,wats wid so many tweets man haha i hate kareena tho wat a ugly sucker yuck
@pablo_la U are flying back tonight?  I may see you week of 7/13!!  Should have my tickets by EOW!  ,positive,100,u are flying back tonight i may see you week of should have my tickets by eow
I've gained weight.. I feel so ugly. ,negative,37,ive gained weight i feel so ugly
glad diversity won bgt!! ,positive,25,glad diversity won bgt
"@pathea Hi  Yes, Ixion a difficult one I find, cos in mythology he seems to have no redeeming features at all  Might try to write summat",positive,136,hi yes ixion a difficult one i find cos in mythology he seems to have no redeeming features at all might try to write summat
"&quot;i thought i was going to marry taylor hanson when i was eight, cause we had the same name&quot;   ahahaa. shes funny ",positive,123,quoti thought i was going to marry taylor hanson when i was eight cause we had the same namequot ahahaa shes funny
@JodiBredekamp haha yeaa...we have to be complicated so they have to suffer a bit too ,positive,86,haha yeaawe have to be complicated so they have to suffer a bit too
Grr so tired (and i don't know why I update i have no followers  ),negative,66,grr so tired and i dont know why i update i have no followers
is jus chillin listenin 2 sum music...its propaaa borrinnn  xx,negative,62,is jus chillin listenin sum musicits propaaa borrinnn xx
@ickabahdsimp you were right about the LAKERSSSSS.  your alwasy right.,negative,70,you were right about the lakersssss your alwasy right
"God, I need to stop procrastinating. However, whenever I feel like working, my medication starts to kick in. Why? ",negative,114,god i need to stop procrastinating however whenever i feel like working my medication starts to kick in why
*Hello! So they say we're out of resection but am still broke ,negative,62,hello so they say were out of resection but am still broke
@UmmIsaDean I kno right I'm looking forward to it....I'm back in Philly the weekend of the 27th ,positive,96,i kno right im looking forward to itim back in philly the weekend of the th
"BEEN A LONG DAY- TIME FOR ME TO GIVE IT UP,  HAVE TO GO TO WORK TOMORROW  NOT LOOKING FORWARD TO IT-STAYING HOME BY THE POOL SOUNDS BETTER",negative,138,been a long day time for me to give it up have to go to work tomorrow not looking forward to itstaying home by the pool sounds better
"@emdanyell I love you more, Twin. ",positive,34,i love you more twin
@matt_olsen thx  gonna look at the FM site in a bit to give you feedback.,positive,73,thx gonna look at the fm site in a bit to give you feedback
jack gets his haircut tomorrow!  I'm gonna miss his long hair!,negative,62,jack gets his haircut tomorrow im gonna miss his long hair
My day begins  and I just went to sleep at 4 am !,negative,49,my day begins and i just went to sleep at am
"Hey, good morning ! At home after a walk with my dogs. Beautiful day ! ",positive,71,hey good morning at home after a walk with my dogs beautiful day
i'm wearing a tshirt with my new user image on it. i got the shirt in ljubljana at some kooky street vendor. ,positive,109,im wearing a tshirt with my new user image on it i got the shirt in ljubljana at some kooky street vendor
my things recently keeps on disappearing mysteriously and reappearing amazingly... ,positive,83,my things recently keeps on disappearing mysteriously and reappearing amazingly
@bobbythomas1 ur entitled to ever kind of animosity and privacy that we are. Why can't people just get that? ,negative,109,ur entitled to ever kind of animosity and privacy that we are why cant people just get that
will someone bring me a diet-coke? ,positive,35,will someone bring me a dietcoke
Woo. Hope this week isnt as slow as last week. ,positive,47,woo hope this week isnt as slow as last week
Two penalties at the same time?! Quit cheating you slashing and tripping Penguins!!! 5 on 3  Let's Go Wings!,positive,108,two penalties at the same time quit cheating you slashing and tripping penguins on lets go wings
First video about WikiChildProtect : The team !  http://www.vimeo.com/5043284. #imaginecup @imagine_cup,positive,103,first video about wikichildprotect the team imaginecup
@anareevesg UK morning news is dull in comparison ,negative,50,uk morning news is dull in comparison
@drbruc trying to make Anzac biscuits. The closest I could find in Montpellier to golden syrup was dark corn syprup... it'll have to do ,negative,136,trying to make anzac biscuits the closest i could find in montpellier to golden syrup was dark corn syprup itll have to do
Anybody selling a Blackberry Curve for T-Mobile? I just want a Blackberry with wifi!  You have to be local in OC&amp;maybe LA though,positive,132,anybody selling a blackberry curve for tmobile i just want a blackberry with wifi you have to be local in ocampmaybe la though
"@Naina That's not the strangest thing really, but yea, we do get carried away some times ",positive,89,thats not the strangest thing really but yea we do get carried away some times
Ok i'm not happy anymore   I'm so scared i'm gonne fail on my exam,negative,66,ok im not happy anymore im so scared im gonne fail on my exam
 AP Impact: Weak security enables credit card hacks (AP) #Geek #WebTech #News http://tinyurl.com/nut6ga,positive,103,ap impact weak security enables credit card hacks ap geek webtech news
@julito77  How are ya? I heard that Josh Beckett hit a HR despite the fact my Red  Sox lost ,negative,92,how are ya i heard that josh beckett hit a hr despite the fact my red sox lost
[Cricket Talk]      GemmaWhite21: is off to play cricket (hopefully)  (via oCricket Talk) .. http://bit.ly/7btNP,positive,112,cricket talk gemmawhite is off to play cricket hopefully via ocricket talk
settin here with alisha and will waiting on cory to call me ,positive,60,settin here with alisha and will waiting on cory to call me
@poonamd yup dupar chi match baghel.....sandhyakali class ahe ,negative,62,yup dupar chi match baghelsandhyakali class ahe
happy is what you make it ,positive,26,happy is what you make it
getting off the phone with Chase...he can't take the phone into the shower ,negative,75,getting off the phone with chasehe cant take the phone into the shower
@milwaukeepolice can I have a warning for night parking instead of a ticket? My landlord never told me I needed a permit and I'm poor. ,negative,135,can i have a warning for night parking instead of a ticket my landlord never told me i needed a permit and im poor
"@Lexxalot heyyy alex   Haven't talked to you in a while, how's it going?",positive,72,heyyy alex havent talked to you in a while hows it going
@jmicaallef YES!!! ,positive,19,yes
fuck you dvd player..you wont let me watch my movie ,negative,52,fuck you dvd playeryou wont let me watch my movie
"Me, toooooooo!!!!!! ",negative,20,me toooooooo
"@SiriusMz_Stylez I'm well thanks  I just wanted to say hello, @TheRealNobody tweeted a message to follow you, so I did!",positive,119,im well thanks i just wanted to say hello tweeted a message to follow you so i did
mentally tagging talks about recession as spam  tired of hearing opinions about it,positive,82,mentally tagging talks about recession as spam tired of hearing opinions about it
"@pegbaron hello  I think you're right, breakfast @hi_rise would be delicious just like the sandwiches we had @ #dentc - glad we met!!",positive,133,hello i think youre right breakfast would be delicious just like the sandwiches we had dentc glad we met
@Gailporter Morning to you from a tired night shift type person. How long did you manage tonight GP? ,positive,101,morning to you from a tired night shift type person how long did you manage tonight gp
SAYAD's coming over today. Whee! Shabu-shabu again. ,positive,52,sayads coming over today whee shabushabu again
I found a starbucks. I'm very happy now. The rolling stones are singin to me and I have the entire backseat to myself. Life is goooood ,positive,135,i found a starbucks im very happy now the rolling stones are singin to me and i have the entire backseat to myself life is goooood
Out at a BBQ with Alee and the italians  painting my room after! &lt;3,positive,70,out at a bbq with alee and the italians painting my room after lt
Cut my hair this short!!! I was sooo nervous but I love it now!!! ,positive,66,cut my hair this short i was sooo nervous but i love it now
Beautiful day here in the park. Pitty I won't see any of it in my plastic work bubble ,negative,86,beautiful day here in the park pitty i wont see any of it in my plastic work bubble
"taylor, i miss you come home to mee ",negative,36,taylor i miss you come home to mee
Follow Delain on Twitter and win their latest single and an exclusive shirt&quot; ,positive,82,follow delain on twitter and win their latest single and an exclusive shirtquot
@Rosenbergradio connecticut. @scooterbraun is holding me hostage by default. But I'll see you next week at summer jam ,positive,118,connecticut is holding me hostage by default but ill see you next week at summer jam
@CanadianJennie August 29th is  not good for me  It's my little sister's bday and I'm working that weekend.,negative,107,august th is not good for me its my little sisters bday and im working that weekend
Layla = awesomeness! ,positive,21,layla awesomeness
@nargath waiting for the sealant guy ,negative,37,waiting for the sealant guy
@Kappayi idk just a cute one. I dl'd a pink one though. ,positive,56,idk just a cute one i dld a pink one though
